Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
157,535350040,20,5,74,5868,1,0,3,0,3,0,2,15,2,2,0,0,5,7,1956,2000,1,1,8,8,0,0,2,2,4,4,3,1,6,1000,5,0,207,0,1,4,1,5,936,0,0,616,0,0,1,0,2,1,2,4,7,0,0,2,1956,3,1,308,3,3,2,0,0,80,0,160,0,0.0,0,0,0,5,2010,0,0,129000
1342,903230120,20,7,99,5940,1,0,2,0,3,4,2,3,1,2,0,0,4,7,1946,1950,1,1,8,4,0,0,2,2,3,4,3,1,6,0,5,0,649,0,1,2,1,4,896,0,0,630,1,0,1,0,2,1,2,4,7,0,0,6,1957,1,1,280,3,3,2,0,0,0,0,0,0,0.0,3,0,0,4,2008,8,1,79000
1305,902205140,20,7,50,6000,1,0,3,0,3,1,2,20,2,2,0,0,4,7,1954,2000,1,1,8,8,0,0,2,2,4,4,3,1,6,1298,5,0,832,0,1,4,1,5,901,0,0,630,1,0,1,0,2,1,2,4,7,0,0,6,1957,1,1,281,2,3,2,0,0,0,0,0,0,0.0,0,0,0,8,2008,0,0,107900
1304,902205090,20,7,50,6000,1,0,3,0,3,0,2,20,2,2,0,0,5,6,1957,1957,3,1,3,3,0,0,2,2,4,4,3,1,6,0,5,0,264,0,1,3,1,4,928,0,0,630,1,0,1,0,3,1,2,5,7,0,0,2,1957,3,1,288,3,3,2,0,0,0,0,0,0,0.0,0,0,0,6,2008,0,0,112500
705,902135020,20,7,60,6000,1,2,3,1,3,0,1,20,2,2,1,0,4,4,1953,1953,1,1,8,8,0,0,2,2,4,4,3,1,6,0,5,0,600,0,1,2,0,5,936,0,0,630,1,0,1,0,2,1,2,4,5,0,0,6,1958,1,2,576,3,3,2,0,32,112,0,0,0,0.0,0,0,0,2,2009,0,0,93000
1819,532353120,20,5,64,6285,1,0,3,0,3,0,2,22,2,2,0,0,5,5,1977,1977,1,1,10,10,0,0,2,2,4,0,3,1,6,180,4,0,240,0,1,2,1,5,894,0,0,630,1,0,1,0,2,1,2,5,7,0,0,6,1961,1,1,308,3,3,2,192,0,0,0,0,0,0.0,0,0,0,3,2007,0,0,120750
1154,532377020,20,5,60,6360,1,0,3,0,3,0,2,22,2,2,0,0,5,5,1963,1963,3,1,15,6,0,0,2,2,4,0,3,1,6,240,4,0,241,0,1,2,1,5,864,0,0,630,1,0,1,0,3,1,2,5,7,0,0,2,1962,1,1,276,3,3,2,0,0,0,0,0,0,0.0,0,4,650,1,2008,4,1,119916
2184,908204090,20,5,64,6400,1,0,3,0,3,0,2,7,2,2,0,0,5,7,1959,2000,1,1,16,15,0,0,2,2,4,0,3,1,6,248,4,0,318,0,1,4,1,5,960,0,0,630,1,0,1,0,2,1,1,4,7,0,0,6,1962,1,1,392,3,3,2,144,0,35,0,0,0,0.0,0,0,0,12,2007,0,0,131750
895,908203090,20,5,64,6410,1,0,3,2,3,0,1,7,2,2,0,0,4,5,1959,1959,1,1,0,0,0,0,2,2,4,0,3,1,6,290,4,0,320,0,1,2,1,4,876,0,0,640,0,0,1,0,3,1,2,5,7,0,0,6,1962,1,1,320,3,3,2,0,0,0,0,0,0,0.0,3,0,0,3,2009,0,0,85000
281,908203100,20,5,64,6410,1,0,3,2,3,0,2,7,2,2,0,0,4,5,1958,1958,3,1,16,15,0,0,2,2,4,0,3,1,6,305,4,0,414,0,1,4,1,5,960,0,0,641,0,0,1,0,3,1,2,5,7,0,0,0,1962,0,0,0,0,0,2,0,0,0,0,0,0,0.0,3,0,0,5,2010,0,0,90000
2744,905475150,20,5,57,6420,1,0,2,0,3,0,2,7,2,2,0,0,5,7,1952,1952,1,1,15,17,0,0,2,2,3,0,3,1,6,311,4,0,742,0,1,1,1,4,1148,0,0,666,0,0,1,0,2,1,2,6,7,0,0,6,1963,1,1,308,3,3,2,0,0,0,0,0,0,0.0,0,0,0,9,2006,0,0,123500
1603,923252100,20,5,59,6490,1,0,3,0,3,0,2,14,2,2,0,0,5,7,1983,1983,1,1,14,14,0,0,2,3,4,1,3,1,6,439,4,0,744,0,1,4,1,5,816,0,0,670,1,0,1,1,2,1,2,4,7,0,0,2,1963,1,1,264,3,3,2,315,0,0,0,0,0,0.0,2,0,0,4,2008,0,0,128500
1491,908103280,20,5,65,6500,1,0,3,0,3,0,2,7,2,2,0,0,6,6,1976,1976,3,1,6,10,0,0,2,2,4,1,3,1,6,495,4,0,745,0,1,2,1,5,1127,0,0,672,0,0,1,0,3,1,2,6,7,1,1,6,1963,1,2,480,3,3,2,0,0,138,0,0,0,0.0,0,0,0,5,2008,0,0,135000
2244,911128010,20,1,65,6565,1,0,3,0,3,1,2,11,2,2,0,0,4,6,1957,1980,1,1,8,8,0,0,2,2,4,3,3,1,6,509,4,0,189,0,1,3,1,4,1073,0,0,672,0,0,1,0,3,1,2,6,7,0,0,6,1963,1,2,720,3,3,2,0,444,0,0,0,0,0.0,0,0,0,8,2007,0,1,140000
1605,923277030,20,5,60,6600,1,0,3,0,3,0,2,14,2,2,0,0,5,9,1982,2008,1,1,14,14,0,0,2,3,4,3,3,1,6,572,4,0,899,105,1,4,1,5,816,0,0,672,0,0,1,0,3,1,3,5,7,1,5,2,1963,1,1,264,3,3,2,0,0,0,0,0,0,0.0,3,0,0,10,2008,0,0,130500
1606,923277040,20,5,60,6600,1,0,3,0,3,0,2,14,2,2,0,0,5,8,1982,2003,1,1,6,6,0,0,2,3,3,3,3,1,6,626,4,0,960,160,1,4,1,5,816,0,0,672,1,0,1,0,2,1,2,4,7,0,0,6,1963,3,2,816,3,3,2,0,0,0,0,0,0,0.0,0,0,0,6,2008,0,0,138000
1607,923277080,20,5,60,6600,1,0,3,0,3,0,2,14,2,2,0,0,5,6,1982,2005,1,1,6,10,0,0,2,2,4,3,3,1,6,698,4,0,173,173,1,3,1,5,845,0,0,691,0,0,1,0,3,1,3,6,7,0,0,2,1963,1,1,264,3,3,2,0,0,0,0,0,0,0.0,0,0,0,7,2008,0,0,134500
1972,535477180,20,5,60,6600,1,0,3,0,3,0,2,15,5,2,0,0,5,5,1962,1962,3,1,15,17,0,0,2,2,4,3,3,1,6,726,4,0,195,190,1,3,1,5,864,0,0,693,0,0,2,0,2,1,2,5,7,0,0,6,1963,1,1,294,3,3,2,58,0,0,0,0,0,0.0,0,0,0,12,2007,0,0,125500
691,535477150,20,5,60,6600,1,0,3,0,3,0,2,15,5,2,0,0,5,5,1962,1962,3,1,8,8,0,0,2,2,4,3,3,1,6,803,4,0,731,216,1,3,0,5,894,0,0,694,0,0,1,0,2,1,2,5,7,0,0,6,1963,1,1,308,3,3,2,0,0,0,0,0,0,0.0,0,0,0,8,2009,0,0,109500
251,906380190,20,5,64,6762,1,0,3,0,3,0,2,5,2,2,0,0,7,5,2006,2006,1,1,14,14,0,0,2,2,3,3,3,1,6,1016,4,0,1422,245,1,4,1,5,1208,0,0,698,0,0,1,0,2,1,3,6,7,0,0,2,1964,2,2,632,3,3,2,105,61,0,0,0,0,0.0,0,0,0,2,2010,0,0,206000
828,906380210,20,5,64,6762,1,0,3,0,3,0,2,5,2,2,0,0,7,5,2007,2007,1,1,14,14,0,0,2,2,3,3,3,1,6,285,4,0,244,264,1,4,1,5,1290,0,0,704,0,0,1,0,2,1,3,6,7,1,4,2,1964,2,2,662,3,3,2,168,0,0,0,0,0,0.0,0,0,0,5,2009,0,0,200000
1155,532378200,20,5,65,6768,1,0,2,0,3,0,2,22,1,2,0,0,6,8,1961,1996,3,1,6,6,0,0,2,3,4,3,3,1,6,619,4,0,0,264,1,3,1,5,912,0,0,708,0,0,1,0,3,1,3,5,7,0,0,6,1964,1,1,288,3,3,2,168,0,0,0,0,0,0.0,4,0,0,5,2008,0,0,142000
1918,535151100,20,5,65,6860,1,0,2,0,3,0,2,15,2,2,0,0,5,6,1956,1956,1,1,15,17,0,0,2,2,4,3,3,1,6,332,4,0,108,270,1,4,1,5,1008,0,0,720,0,0,1,0,3,1,1,6,7,0,0,6,1965,1,1,308,3,3,2,0,0,0,0,0,0,0.0,0,0,0,12,2007,0,0,131000
855,907201280,20,5,76,6950,1,0,2,0,3,0,2,5,2,2,0,0,5,7,1979,1979,1,1,6,6,0,0,2,2,4,3,3,1,6,746,4,0,672,290,1,2,1,5,914,0,0,720,0,0,1,1,2,1,2,5,7,0,0,2,1965,1,2,444,3,3,2,0,0,0,0,0,0,0.0,0,0,0,10,2009,0,0,134900
1604,923275090,20,5,37,6951,1,0,2,0,3,2,2,14,2,2,0,0,5,5,1984,1985,1,1,6,10,0,0,2,2,4,3,3,1,6,462,4,0,513,301,1,2,1,5,923,0,0,720,0,0,1,0,3,1,2,5,7,0,0,2,1965,1,1,264,3,3,2,362,0,0,0,0,0,0.0,3,0,0,10,2008,0,0,119500
334,923230190,20,5,50,6953,1,0,3,0,3,0,2,14,2,2,0,0,5,7,1971,2004,1,1,14,14,0,0,2,3,4,3,3,1,6,544,4,0,1139,346,1,4,1,5,874,0,0,729,0,0,1,0,3,1,2,5,7,0,0,6,1965,1,1,352,3,3,2,0,0,0,0,0,0,0.0,0,0,0,6,2010,8,0,130000
399,527405160,20,5,60,6960,1,0,3,0,3,0,2,15,2,2,0,0,4,6,1970,1970,1,1,6,10,0,0,2,2,4,3,3,1,6,425,4,0,148,348,1,2,1,5,864,0,0,732,1,0,1,0,3,1,3,5,7,0,0,6,1965,1,2,660,3,3,2,96,0,0,0,0,0,0.0,0,4,500,11,2009,0,0,120500
1823,532376040,20,5,85,6970,1,0,3,0,3,1,2,22,1,2,0,0,4,5,1961,1961,1,1,14,14,0,0,2,2,4,3,3,1,6,0,4,0,164,356,1,2,1,5,1120,0,0,747,0,0,1,0,3,1,1,5,7,0,0,2,1965,2,2,544,3,3,2,168,0,0,0,0,0,0.0,0,4,400,5,2007,0,0,129000
2497,532378160,20,5,65,6993,1,0,3,0,3,0,2,22,1,2,0,0,5,7,1961,1994,1,1,6,10,0,0,2,2,4,3,3,1,6,0,4,0,46,370,1,2,1,5,1236,0,0,747,0,0,1,1,3,1,2,6,7,1,3,2,1966,1,1,288,3,3,2,0,0,0,0,0,0,0.0,0,0,0,6,2006,0,0,135000
2634,535478090,20,5,70,7000,1,0,3,0,3,0,2,15,0,2,0,0,5,6,1962,1962,1,1,15,17,0,0,2,2,4,3,3,1,6,0,4,0,869,381,1,3,1,5,864,0,0,752,1,0,1,1,3,1,2,5,7,0,0,2,1966,1,1,336,3,3,2,0,0,0,0,0,0,0.0,2,0,0,2,2006,0,0,105000
1969,535457050,20,5,70,7000,1,0,3,0,3,1,2,15,1,2,0,0,5,6,1961,1961,1,1,3,17,0,0,2,2,2,3,3,1,6,504,4,0,384,384,1,3,1,5,925,0,0,754,1,0,1,0,3,1,2,7,7,0,0,2,1966,3,1,300,3,3,2,0,0,0,0,0,0,0.0,0,0,0,7,2007,0,0,99000
1963,535452060,20,5,70,7000,1,0,3,0,3,0,2,15,2,2,0,0,5,7,1960,2002,1,1,15,17,0,0,2,2,4,3,3,1,6,0,4,0,516,384,1,4,1,5,1134,0,0,756,0,0,1,0,2,1,2,6,7,0,0,2,1966,2,1,254,3,3,2,0,16,0,0,0,0,0.0,1,0,0,4,2007,0,4,135000
2630,535457070,20,5,70,7000,1,0,3,0,3,0,2,15,2,2,0,0,5,4,1961,1961,3,1,3,3,0,0,2,2,4,3,3,1,6,481,6,0,525,384,1,2,1,5,1150,0,0,764,0,0,1,0,3,1,2,6,7,0,0,2,1966,2,1,288,3,3,2,0,0,0,0,162,0,0.0,0,0,0,7,2006,0,0,146000
2179,908152280,20,5,60,7024,1,0,3,0,3,0,2,7,2,2,0,0,5,5,2005,2006,1,1,14,14,0,0,2,2,3,3,3,1,6,922,6,0,548,384,1,3,1,5,1090,0,0,765,1,0,1,0,2,1,2,5,7,0,0,2,1967,3,2,450,3,3,2,0,49,0,0,0,0,0.0,0,0,0,6,2007,0,0,157000
1497,908152270,20,5,60,7024,1,0,3,0,3,0,2,7,2,2,0,0,4,5,2005,2005,1,1,14,14,0,0,2,2,3,3,3,1,6,254,6,0,884,384,1,4,1,5,1132,0,0,767,1,0,1,0,2,1,3,5,7,0,0,2,1967,3,2,451,3,3,2,252,64,0,0,0,0,0.0,0,0,0,6,2008,0,0,176000
398,527405130,20,5,60,7038,1,0,3,0,3,0,2,15,2,2,0,0,4,6,1970,1970,1,1,14,14,0,0,2,2,4,3,3,1,6,686,6,0,912,384,1,2,1,5,864,0,0,768,0,0,1,0,3,1,2,5,7,0,0,6,1967,1,2,576,3,3,2,210,0,0,0,0,0,0.0,4,0,0,9,2009,0,1,76500
556,532353130,20,5,71,7064,1,0,3,0,3,0,2,22,2,2,0,0,5,6,1977,1977,1,1,10,10,0,0,2,2,4,3,3,1,6,432,6,0,1451,384,1,2,1,5,980,0,0,768,0,0,1,0,3,1,2,6,7,0,0,6,1968,1,2,484,3,3,2,192,0,0,0,0,0,0.0,0,0,0,7,2009,0,0,135000
2056,905104090,20,5,99,7094,1,0,2,0,3,0,2,22,2,2,0,0,5,5,1966,1966,1,1,14,14,0,0,2,2,4,3,3,1,6,634,6,0,406,385,1,2,1,5,894,0,0,768,1,0,1,0,3,1,2,5,7,0,0,6,1968,2,1,384,3,3,2,0,0,0,0,0,0,0.0,3,0,0,5,2007,0,0,125000
2615,535404080,20,5,73,7100,1,0,2,0,3,1,2,15,2,2,0,0,5,7,1957,1957,1,1,16,15,0,0,2,2,4,3,3,1,6,864,6,0,487,396,1,2,1,4,816,0,0,768,1,0,1,0,2,1,2,5,7,0,0,6,1968,1,1,308,3,3,2,0,0,0,0,0,0,0.0,0,0,0,7,2006,0,0,129900
594,534200030,20,5,62,7130,1,0,3,0,3,0,2,15,2,2,0,0,5,6,1967,1967,1,1,6,6,0,0,2,2,3,3,3,1,6,0,6,0,624,405,1,2,1,5,864,0,0,773,0,0,1,0,2,1,2,5,7,0,0,2,1968,3,1,312,3,3,2,0,0,0,0,0,0,0.0,4,0,0,6,2009,0,0,130000
419,527455240,20,5,65,7150,1,0,3,0,3,0,2,15,2,2,0,0,5,5,1967,1967,1,1,6,6,0,0,2,2,4,3,3,1,6,189,6,0,440,407,1,2,1,5,892,0,0,774,0,0,1,0,3,1,2,5,7,0,0,2,1968,2,1,288,3,3,2,0,0,0,0,0,0,0.0,2,0,0,7,2009,0,0,100000
563,532378180,20,5,65,7150,1,0,3,0,3,0,2,22,1,2,0,0,5,6,1962,1962,1,1,14,14,0,0,2,2,4,3,3,1,6,0,6,0,176,416,1,3,1,5,912,0,0,778,0,0,1,0,3,1,2,6,7,0,0,2,1968,1,1,252,3,3,2,0,0,0,0,0,0,0.0,0,0,0,10,2009,0,0,123000
1684,527455250,20,5,65,7150,1,0,3,0,3,0,2,15,2,2,0,0,5,6,1966,1966,3,1,6,6,0,0,2,2,4,3,3,1,6,0,6,0,510,416,1,2,1,5,988,0,0,780,0,0,1,0,3,1,2,5,7,0,0,6,1968,1,1,360,3,3,2,0,0,0,0,0,0,0.0,0,0,0,11,2007,0,0,129250
1452,907227050,20,5,60,7180,1,0,2,0,3,0,2,5,2,2,0,0,5,7,1972,1972,3,1,6,6,0,0,2,2,4,3,3,1,6,0,2,0,173,420,1,2,1,5,864,0,0,784,0,0,1,0,3,1,2,5,7,0,0,6,1969,1,1,352,3,3,2,0,0,0,0,0,0,0.0,0,0,0,5,2008,0,0,127000
683,535452140,20,5,60,7200,1,0,3,0,3,1,2,15,2,2,0,0,5,7,1952,1952,1,1,8,8,0,0,2,3,4,3,3,1,6,283,2,0,741,432,1,2,1,5,732,0,0,784,1,0,1,0,2,1,2,4,7,0,0,6,1969,1,1,240,3,3,2,0,68,0,0,0,0,0.0,0,0,0,9,2009,0,0,118900
1453,907227300,20,5,60,7200,1,0,3,1,3,0,2,5,2,2,0,0,5,7,1972,1972,1,1,6,6,0,0,2,2,4,3,3,1,2,312,2,0,108,440,1,4,1,5,780,0,0,784,1,0,1,0,2,1,2,4,7,0,0,6,1969,1,1,352,3,3,2,196,0,0,0,0,0,0.0,3,0,0,1,2008,0,0,124900
1280,535456100,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,7,1954,1954,1,1,8,8,0,0,2,2,4,3,3,1,2,376,2,0,206,440,1,2,1,4,825,0,0,788,1,0,1,0,2,1,2,4,7,0,0,2,1969,1,1,350,3,3,2,0,0,0,0,0,0,0.0,0,0,0,7,2008,0,0,109500
155,535327140,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,7,1955,2007,1,1,14,14,0,0,2,2,2,3,3,1,2,397,2,0,363,448,1,4,1,5,827,0,0,790,0,0,1,0,2,1,2,5,4,1,1,6,1969,1,1,392,3,3,2,0,0,0,0,0,0,0.0,0,0,0,4,2010,0,0,107500
1962,535451110,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,8,1950,2002,1,1,14,14,0,0,2,2,4,3,3,1,2,417,2,0,0,462,1,3,1,5,864,0,0,792,0,0,1,0,3,1,3,5,7,0,0,6,1969,2,2,720,3,3,2,194,0,0,0,0,0,0.0,0,0,0,7,2007,0,0,129000
2143,907227060,20,5,60,7200,1,0,3,0,3,0,2,5,2,2,0,0,5,5,1972,2000,1,1,14,14,0,0,2,2,4,3,3,1,2,452,2,0,0,462,1,3,1,5,864,0,0,792,0,0,1,0,3,1,4,5,7,0,0,6,1969,3,2,576,4,5,2,155,0,0,0,0,0,0.0,0,0,0,9,2007,0,0,127000
2649,902128020,20,7,60,7200,1,1,3,0,3,0,2,20,2,2,0,0,4,5,1950,1950,1,1,8,8,0,0,2,2,4,3,3,1,2,485,2,0,224,468,1,4,1,5,864,0,0,792,0,0,1,0,2,1,2,5,7,0,0,6,1970,2,1,528,3,3,2,0,0,0,0,115,0,0.0,0,0,0,8,2006,4,0,105000
2788,907227090,20,5,60,7200,1,0,3,3,3,0,2,5,2,2,0,0,5,8,1972,1972,1,1,14,14,0,0,2,2,4,3,3,1,2,489,2,0,936,480,1,4,1,5,864,0,0,793,1,0,1,0,3,1,2,5,7,0,0,6,1970,1,1,297,3,3,2,0,0,0,0,0,0,0.0,3,0,0,3,2006,0,0,119900
2363,527404180,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,4,4,1971,1971,1,1,6,6,0,0,2,2,4,3,3,1,2,569,2,0,624,480,1,2,1,5,874,0,0,796,0,0,1,0,3,1,2,5,7,0,0,6,1970,1,2,576,3,3,2,63,0,0,0,0,0,0.0,0,0,0,3,2006,0,0,97500
2144,907227100,20,5,60,7200,1,0,3,0,3,0,2,5,2,2,0,0,4,8,1972,2006,1,1,10,10,0,0,2,3,4,3,3,1,2,579,2,0,312,481,1,3,1,5,875,0,0,796,0,0,1,0,3,1,3,5,7,0,0,6,1970,1,2,728,3,3,2,352,0,0,0,0,0,0.0,0,0,0,10,2007,0,0,117000
1268,535451050,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,7,1951,1951,1,1,8,8,0,0,2,2,4,3,3,1,2,727,2,0,0,483,1,2,1,5,876,0,0,796,0,0,1,1,2,1,2,5,7,1,3,6,1970,1,2,576,3,3,2,0,0,0,0,0,0,0.0,0,0,0,2,2008,0,1,94000
860,907227080,20,5,60,7200,1,0,3,3,3,0,2,5,2,2,0,0,5,5,1972,1972,3,1,8,8,0,0,2,2,4,3,3,1,2,767,2,0,0,483,1,2,1,5,894,0,0,796,0,0,1,0,2,1,2,6,7,0,0,6,1970,2,2,600,3,3,2,215,0,0,0,0,0,0.0,0,0,0,9,2009,0,0,123000
165,535456110,20,5,60,7200,1,0,3,0,3,1,2,15,2,2,0,0,5,7,1951,2000,1,1,15,17,0,0,2,2,4,3,3,1,2,874,2,0,0,483,1,2,1,5,900,0,0,797,0,0,2,0,3,1,3,5,7,0,0,6,1970,1,2,576,3,3,2,222,32,0,0,0,0,0.0,0,0,0,5,2010,0,0,134800
1960,535451040,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,7,1950,1950,1,1,8,8,0,0,2,2,4,3,3,1,2,953,2,0,0,483,1,2,1,5,988,0,0,800,0,0,2,0,3,1,2,6,7,0,0,2,1970,1,1,276,3,3,2,0,80,0,0,0,0,0.0,0,0,0,5,2007,0,0,119000
2622,535451190,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,7,1950,1950,3,1,15,17,0,0,2,2,4,3,3,1,2,1056,2,0,0,483,1,2,1,3,1040,0,0,803,0,0,1,0,2,1,2,5,7,0,0,6,1971,1,2,625,3,3,2,0,0,0,0,0,0,0.0,0,0,0,6,2006,0,0,109500
2623,535451210,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,4,5,1950,1950,1,1,3,17,0,0,2,2,2,3,3,1,2,0,2,0,0,483,1,2,1,4,1040,0,0,804,1,0,2,0,2,1,2,4,7,0,0,6,1971,1,2,420,3,3,2,0,29,0,0,0,0,0.0,0,0,0,7,2006,0,0,109900
1269,535451230,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,5,1950,1950,3,1,8,8,0,0,2,2,4,3,3,1,2,24,2,0,0,483,1,3,1,5,1048,0,0,808,0,0,1,0,3,1,2,7,6,0,0,6,1971,1,2,420,3,3,2,0,27,0,0,0,0,0.0,0,0,0,7,2008,0,0,98300
1961,535451100,20,5,60,7200,1,0,3,0,3,0,2,15,2,2,0,0,5,3,1950,1950,1,1,16,15,0,0,2,2,4,3,3,1,2,143,2,0,0,483,1,1,1,4,1238,0,0,813,0,0,1,0,3,1,2,6,5,1,3,2,1971,1,1,357,3,3,2,0,171,0,0,0,0,0.0,0,0,0,11,2007,0,0,102000
