Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
2656,902207080,20,RM,49,5820,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,Gd,TA,No,BLQ,846,ALQ,0,1017,0,GasA,Ex,Y,SBrkr,1163,0,0,612,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1956,Unf,1,220,Fa,TA,Y,142,98,0,0,0,0,NA,NA,NA,0,7,2006,WD ,Normal,126175
157,535350040,20,RL,74,5868,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,2000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,No,GLQ,1000,ALQ,0,207,0,GasA,Ex,Y,SBrkr,936,0,0,616,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1956,Fin,1,308,TA,TA,Y,0,0,80,0,160,0,NA,NA,NA,0,5,2010,WD ,Normal,129000
1342,903230120,20,RM,99,5940,Pave,NA,IR1,Lvl,AllPub,FR3,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,7,1946,1950,Gable,CompShg,MetalSd,CBlock,None,0,TA,TA,PConc,Gd,TA,No,GLQ,0,ALQ,0,649,0,GasA,TA,Y,FuseA,896,0,0,630,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1957,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,4,2008,ConLD,Abnorml,79000
1305,902205140,20,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1954,2000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,No,GLQ,1298,ALQ,0,832,0,GasA,Ex,Y,SBrkr,901,0,0,630,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1957,Unf,1,281,Fa,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2008,WD ,Normal,107900
1304,902205090,20,RM,50,6000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1957,1957,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,Gd,TA,No,GLQ,0,ALQ,0,264,0,GasA,Gd,Y,FuseA,928,0,0,630,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1957,Fin,1,288,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD ,Normal,112500
705,902135020,20,RM,60,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,No,GLQ,0,ALQ,0,600,0,GasA,TA,N,SBrkr,936,0,0,630,1,0,1,0,2,1,TA,4,Min2,0,NA,Detchd,1958,Unf,2,576,TA,TA,Y,0,32,112,0,0,0,NA,NA,NA,0,2,2009,WD ,Normal,93000
1819,532353120,20,RL,64,6285,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,NA,TA,No,GLQ,180,BLQ,0,240,0,GasA,TA,Y,SBrkr,894,0,0,630,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1961,Unf,1,308,TA,TA,Y,192,0,0,0,0,0,NA,NA,NA,0,3,2007,WD ,Normal,120750
1154,532377020,20,RL,60,6360,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1963,1963,Hip,CompShg,Wd Sdng,HdBoard,None,0,TA,TA,CBlock,NA,TA,No,GLQ,240,BLQ,0,241,0,GasA,TA,Y,SBrkr,864,0,0,630,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1962,Unf,1,276,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,650,1,2008,COD,Abnorml,119916
2184,908204090,20,RL,64,6400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1959,2000,Gable,CompShg,WdShing,Wd Shng,None,0,TA,TA,CBlock,NA,TA,No,GLQ,248,BLQ,0,318,0,GasA,Ex,Y,SBrkr,960,0,0,630,1,0,1,0,2,1,Fa,4,Typ,0,NA,Detchd,1962,Unf,1,392,TA,TA,Y,144,0,35,0,0,0,NA,NA,NA,0,12,2007,WD ,Normal,131750
895,908203090,20,RL,64,6410,Pave,NA,Reg,HLS,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,CompShg,AsbShng,AsbShng,None,0,TA,TA,CBlock,NA,TA,No,GLQ,290,BLQ,0,320,0,GasA,TA,Y,FuseA,876,0,0,640,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1962,Unf,1,320,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,3,2009,WD ,Normal,85000
281,908203100,20,RL,64,6410,Pave,NA,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1958,1958,Hip,CompShg,WdShing,Wd Shng,None,0,TA,TA,CBlock,NA,TA,No,GLQ,305,BLQ,0,414,0,GasA,Ex,Y,SBrkr,960,0,0,641,0,0,1,0,3,1,TA,5,Typ,0,NA,NA,1962,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2010,WD ,Normal,90000
2744,905475150,20,RL,57,6420,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,NA,TA,No,GLQ,311,BLQ,0,742,0,GasA,Fa,Y,FuseA,1148,0,0,666,0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,1963,Unf,1,308,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,9,2006,WD ,Normal,123500
1603,923252100,20,RL,59,6490,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,Po,TA,No,GLQ,439,BLQ,0,744,0,GasA,Ex,Y,SBrkr,816,0,0,670,1,0,1,1,2,1,TA,4,Typ,0,NA,Attchd,1963,Unf,1,264,TA,TA,Y,315,0,0,0,0,0,NA,GdWo,NA,0,4,2008,WD ,Normal,128500
1491,908103280,20,RL,65,6500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,6,1976,1976,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,Po,TA,No,GLQ,495,BLQ,0,745,0,GasA,TA,Y,SBrkr,1127,0,0,672,0,0,1,0,3,1,TA,6,Typ,1,Po,Detchd,1963,Unf,2,480,TA,TA,Y,0,0,138,0,0,0,NA,NA,NA,0,5,2008,WD ,Normal,135000
2244,911128010,20,C (all),65,6565,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,6,1957,1980,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,509,BLQ,0,189,0,GasA,Gd,Y,FuseA,1073,0,0,672,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1963,Unf,2,720,TA,TA,Y,0,444,0,0,0,0,NA,NA,NA,0,8,2007,WD ,Abnorml,140000
1605,923277030,20,RL,60,6600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,9,1982,2008,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,572,BLQ,0,899,105,GasA,Ex,Y,SBrkr,816,0,0,672,0,0,1,0,3,1,Gd,5,Typ,1,Ex,Attchd,1963,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,10,2008,WD ,Normal,130500
1606,923277040,20,RL,60,6600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,8,1982,2003,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,PConc,TA,TA,No,GLQ,626,BLQ,0,960,160,GasA,Ex,Y,SBrkr,816,0,0,672,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1963,Fin,2,816,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD ,Normal,138000
1607,923277080,20,RL,60,6600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1982,2005,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,698,BLQ,0,173,173,GasA,Gd,Y,SBrkr,845,0,0,691,0,0,1,0,3,1,Gd,6,Typ,0,NA,Attchd,1963,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2008,WD ,Normal,134500
1972,535477180,20,RL,60,6600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,GLQ,726,BLQ,0,195,190,GasA,Gd,Y,SBrkr,864,0,0,693,0,0,2,0,2,1,TA,5,Typ,0,NA,Detchd,1963,Unf,1,294,TA,TA,Y,58,0,0,0,0,0,NA,NA,NA,0,12,2007,WD ,Normal,125500
691,535477150,20,RL,60,6600,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,803,BLQ,0,731,216,GasA,Gd,N,SBrkr,894,0,0,694,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1963,Unf,1,308,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2009,WD ,Normal,109500
251,906380190,20,RL,64,6762,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,1016,BLQ,0,1422,245,GasA,Ex,Y,SBrkr,1208,0,0,698,0,0,1,0,2,1,Gd,6,Typ,0,NA,Attchd,1964,RFn,2,632,TA,TA,Y,105,61,0,0,0,0,NA,NA,NA,0,2,2010,WD ,Normal,206000
828,906380210,20,RL,64,6762,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,285,BLQ,0,244,264,GasA,Ex,Y,SBrkr,1290,0,0,704,0,0,1,0,2,1,Gd,6,Typ,1,Gd,Attchd,1964,RFn,2,662,TA,TA,Y,168,0,0,0,0,0,NA,NA,NA,0,5,2009,WD ,Normal,200000
1155,532378200,20,RL,65,6768,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,6,8,1961,1996,Hip,CompShg,HdBoard,HdBoard,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,619,BLQ,0,0,264,GasA,Gd,Y,SBrkr,912,0,0,708,0,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,1964,Unf,1,288,TA,TA,Y,168,0,0,0,0,0,NA,GdPrv,NA,0,5,2008,WD ,Normal,142000
1918,535151100,20,RL,65,6860,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,GLQ,332,BLQ,0,108,270,GasA,Ex,Y,SBrkr,1008,0,0,720,0,0,1,0,3,1,Fa,6,Typ,0,NA,Detchd,1965,Unf,1,308,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,12,2007,WD ,Normal,131000
855,907201280,20,RL,76,6950,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,GLQ,746,BLQ,0,672,290,GasA,TA,Y,SBrkr,914,0,0,720,0,0,1,1,2,1,TA,5,Typ,0,NA,Attchd,1965,Unf,2,444,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2009,WD ,Normal,134900
1604,923275090,20,RL,37,6951,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1984,1985,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,462,BLQ,0,513,301,GasA,TA,Y,SBrkr,923,0,0,720,0,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1965,Unf,1,264,TA,TA,Y,362,0,0,0,0,0,NA,MnPrv,NA,0,10,2008,WD ,Normal,119500
334,923230190,20,RL,50,6953,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1971,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,544,BLQ,0,1139,346,GasA,Ex,Y,SBrkr,874,0,0,729,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,ConLD,Normal,130000
399,527405160,20,RL,60,6960,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1970,1970,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,425,BLQ,0,148,348,GasA,TA,Y,SBrkr,864,0,0,732,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,1965,Unf,2,660,TA,TA,Y,96,0,0,0,0,0,NA,NA,Shed,500,11,2009,WD ,Normal,120500
1823,532376040,20,RL,85,6970,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,5,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,0,BLQ,0,164,356,GasA,TA,Y,SBrkr,1120,0,0,747,0,0,1,0,3,1,Fa,5,Typ,0,NA,Attchd,1965,RFn,2,544,TA,TA,Y,168,0,0,0,0,0,NA,NA,Shed,400,5,2007,WD ,Normal,129000
2497,532378160,20,RL,65,6993,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,7,1961,1994,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,0,BLQ,0,46,370,GasA,TA,Y,SBrkr,1236,0,0,747,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1966,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2006,WD ,Normal,135000
2634,535478090,20,RL,70,7000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1Story,5,6,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,GLQ,0,BLQ,0,869,381,GasA,Gd,Y,SBrkr,864,0,0,752,1,0,1,1,3,1,TA,5,Typ,0,NA,Attchd,1966,Unf,1,336,TA,TA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,2,2006,WD ,Normal,105000
1969,535457050,20,RL,70,7000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,Slab,TA,TA,No,GLQ,504,BLQ,0,384,384,GasA,Gd,Y,SBrkr,925,0,0,754,1,0,1,0,3,1,TA,7,Typ,0,NA,Attchd,1966,Fin,1,300,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2007,WD ,Normal,99000
1963,535452060,20,RL,70,7000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,2002,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,GLQ,0,BLQ,0,516,384,GasA,Ex,Y,SBrkr,1134,0,0,756,0,0,1,0,2,1,TA,6,Typ,0,NA,Attchd,1966,RFn,1,254,TA,TA,Y,0,16,0,0,0,0,NA,MnWw,NA,0,4,2007,WD ,Family,135000
2630,535457070,20,RL,70,7000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,4,1961,1961,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,GLQ,481,GLQ,0,525,384,GasA,TA,Y,SBrkr,1150,0,0,764,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1966,RFn,1,288,TA,TA,Y,0,0,0,0,162,0,NA,NA,NA,0,7,2006,WD ,Normal,146000
2179,908152280,20,RL,60,7024,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,922,GLQ,0,548,384,GasA,Gd,Y,SBrkr,1090,0,0,765,1,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1967,Fin,2,450,TA,TA,Y,0,49,0,0,0,0,NA,NA,NA,0,6,2007,WD ,Normal,157000
1497,908152270,20,RL,60,7024,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,254,GLQ,0,884,384,GasA,Ex,Y,SBrkr,1132,0,0,767,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,1967,Fin,2,451,TA,TA,Y,252,64,0,0,0,0,NA,NA,NA,0,6,2008,WD ,Normal,176000
398,527405130,20,RL,60,7038,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1970,1970,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,686,GLQ,0,912,384,GasA,TA,Y,SBrkr,864,0,0,768,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1967,Unf,2,576,TA,TA,Y,210,0,0,0,0,0,NA,GdPrv,NA,0,9,2009,WD ,Abnorml,76500
556,532353130,20,RL,71,7064,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,432,GLQ,0,1451,384,GasA,TA,Y,SBrkr,980,0,0,768,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1968,Unf,2,484,TA,TA,Y,192,0,0,0,0,0,NA,NA,NA,0,7,2009,WD ,Normal,135000
2056,905104090,20,RL,99,7094,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1966,1966,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,634,GLQ,0,406,385,GasA,TA,Y,SBrkr,894,0,0,768,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1968,RFn,1,384,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2007,WD ,Normal,125000
